x,f(x),P_n(x)
-3.0,4.0,-10855.795484029768
-2.99,3.99,-8065.505105558141
-2.9800000000000004,3.9800000000000004,-5514.048071065872
-2.9700000000000006,3.9700000000000006,-3189.880298457739
-2.960000000000001,3.960000000000001,-1081.8185951689434
-2.950000000000001,3.950000000000001,820.9669170124071
-2.9400000000000013,3.9400000000000013,2528.9602724122205
-2.9300000000000015,3.9300000000000015,4052.3070280989105
-2.9200000000000017,3.9200000000000017,5400.82152754226
-2.910000000000002,3.910000000000002,6583.994062168142
-2.900000000000002,3.900000000000002,7610.997931671186
-2.8900000000000023,3.8900000000000023,8490.6964039442
-2.8800000000000026,3.8800000000000026,9231.649575479718
-2.8700000000000028,3.8700000000000028,9842.121133095792
-2.860000000000003,3.860000000000003,10330.085017834694
-2.850000000000003,3.850000000000003,10703.231991879953
-2.8400000000000034,3.8400000000000034,10968.97610933372
-2.8300000000000036,3.8300000000000036,11134.461091693134
-2.820000000000004,3.820000000000004,11206.56660886102
-2.810000000000004,3.810000000000004,11191.91446652287
-2.8000000000000043,3.8000000000000043,11096.874700718827
-2.7900000000000045,3.7900000000000045,10927.571580435753
-2.7800000000000047,3.7800000000000047,10689.889519041553
-2.770000000000005,3.770000000000005,10389.47889538013
-2.760000000000005,3.760000000000005,10031.761785342313
-2.7500000000000053,3.7500000000000053,9621.937604724584
-2.7400000000000055,3.7400000000000055,9164.988664184184
-2.7300000000000058,3.7300000000000058,8665.685637095714
-2.720000000000006,3.720000000000006,8128.592941111138
-2.710000000000006,3.710000000000006,7558.074034221588
-2.7000000000000064,3.7000000000000064,6958.2966261161855
-2.6900000000000066,3.6900000000000066,6333.237805629611
-2.680000000000007,3.680000000000007,5686.689085066881
-2.670000000000007,3.670000000000007,5022.261362190393
-2.6600000000000072,3.6600000000000072,4343.389800651023
-2.6500000000000075,3.6500000000000075,3653.3386296416033
-2.6400000000000077,3.6400000000000077,2955.2058635478834
-2.630000000000008,3.630000000000008,2251.927942368597
-2.620000000000008,3.620000000000008,1546.2842936730376
-2.6100000000000083,3.6100000000000083,840.9018168610902
-2.6000000000000085,3.6000000000000085,138.25929048738368
