x;f(x);P(x)
-3,0;4,0;4,0
-2,25;3,25;3,25
-1,5;2,5;2,5
-0,75;1,75;1,75
0,0;1,0;1,0
0,75;1,75;1,75
1,5;2,5;2,5
2,25;3,25;3,2500000000000018
3,0;4,0;4,000000000000014
