x;f(x);P(x)
-3,0;4,0;4,0
-2,625;3,625;3,625
-2,25;3,25;3,25
-1,875;2,875;2,875
-1,5;2,5;2,5
-1,125;2,125;2,125
-0,75;1,75;1,75
-0,375;1,375;1,375
0,0;1,0;1,0
0,375;1,375;1,375
0,75;1,75;1,75
1,125;2,125;2,125
1,5;2,5;2,499999999999986
1,875;2,875;2,8750000000000284
2,25;3,25;3,2499999999990905
2,625;3,625;3,625
3,0;4,0;4,0
