x,f(x),P_n(x)
-3.0,4.0,4.0
-2.99,3.99,2100.3525405928694
-2.9800000000000004,3.9800000000000004,4053.169079347674
-2.9700000000000006,3.9700000000000006,5868.178671347197
-2.960000000000001,3.960000000000001,7550.953713002695
-2.950000000000001,3.950000000000001,9106.912952942868
-2.9400000000000013,3.9400000000000013,10541.324463488078
-2.9300000000000015,3.9300000000000015,11859.308573028491
-2.9200000000000017,3.9200000000000017,13065.840759623454
-2.910000000000002,3.910000000000002,14165.754506138308
-2.900000000000002,3.900000000000002,15163.744117233633
-2.8900000000000023,3.8900000000000023,16064.367498520689
-2.8800000000000026,3.8800000000000026,16872.04889819555
-2.8700000000000028,3.8700000000000028,17591.081611463385
-2.860000000000003,3.860000000000003,18225.630648062863
-2.850000000000003,3.850000000000003,18779.735363199834
-2.8400000000000034,3.8400000000000034,19257.312052197776
-2.8300000000000036,3.8300000000000036,19662.156509171717
-2.820000000000004,3.820000000000004,19997.946550030763
-2.810000000000004,3.810000000000004,20268.24450011352
-2.8000000000000043,3.8000000000000043,20476.499646759134
-2.7900000000000045,3.7900000000000045,20626.050657115702
-2.7800000000000047,3.7800000000000047,20720.127961486534
-2.770000000000005,3.770000000000005,20761.85610251351
-2.760000000000005,3.760000000000005,20754.256050495627
-2.7500000000000053,3.7500000000000053,20700.247485139498
-2.7400000000000055,3.7400000000000055,20602.65104403752
-2.7300000000000058,3.7300000000000058,20464.190538168168
-2.720000000000006,3.720000000000006,20287.495134711527
-2.710000000000006,3.710000000000006,20075.10150747216
-2.7000000000000064,3.7000000000000064,19829.455955200163
-2.6900000000000066,3.6900000000000066,19552.916488099825
-2.680000000000007,3.680000000000007,19247.754882814523
-2.670000000000007,3.670000000000007,18916.158706174858
-2.6600000000000072,3.6600000000000072,18560.233307996048
-2.6500000000000075,3.6500000000000075,18182.00378320943
-2.6400000000000077,3.6400000000000077,17783.41690361147
-2.630000000000008,3.630000000000008,17366.34301951276
-2.620000000000008,3.620000000000008,16932.57793156815
-2.6100000000000083,3.6100000000000083,16483.844733067814
-2.6000000000000085,3.6000000000000085,16021.795622968115
-2.5900000000000087,3.5900000000000087,15548.013689939726
-2.580000000000009,3.580000000000009,15064.014667709313
-2.570000000000009,3.570000000000009,14571.248661969876
-2.5600000000000094,3.5600000000000094,14071.101849133694
-2.5500000000000096,3.5500000000000096,13564.898147200487
-2.54000000000001,3.54000000000001,13053.900859012281
-2.53000000000001,3.53000000000001,12539.314288165304
-2.5200000000000102,3.5200000000000102,12022.28532784792
-2.5100000000000104,3.5100000000000104,11503.905022872426
-2.5000000000000107,3.5000000000000107,10985.210105167447
-2.490000000000011,3.490000000000011,10467.18450299625
-2.480000000000011,3.480000000000011,9950.760824165312
-2.4700000000000113,3.4700000000000113,9436.821813486064
-2.4600000000000115,3.4600000000000115,8926.2017847517
-2.4500000000000117,3.4500000000000117,8419.688027489572
-2.440000000000012,3.440000000000012,7918.022188748672
-2.430000000000012,3.430000000000012,7421.901630180262
-2.4200000000000124,3.4200000000000124,6931.980760668721
-2.4100000000000126,3.4100000000000126,6448.872344768332
-2.400000000000013,3.400000000000013,5973.148787200605
-2.390000000000013,3.390000000000013,5505.343393665424
-2.380000000000013,3.380000000000013,5045.951608218259
-2.3700000000000134,3.3700000000000134,4595.432227464265
-2.3600000000000136,3.3600000000000136,4154.208591819102
-2.350000000000014,3.350000000000014,3722.6697540849077
-2.340000000000014,3.340000000000014,3301.1716255887973
-2.3300000000000143,3.3300000000000143,2890.038100129961
-2.3200000000000145,3.3200000000000145,2489.56215598025
-2.3100000000000147,3.3100000000000147,2100.0069361819637
-2.300000000000015,3.300000000000015,1721.6068073852841
-2.290000000000015,3.290000000000015,1354.5683974666488
-2.2800000000000153,3.2800000000000153,999.0716121681222
-2.2700000000000156,3.2700000000000156,655.270630996602
-2.2600000000000158,3.2600000000000158,323.294882620526
-2.250000000000016,3.250000000000016,3.2500000005020784
-2.240000000000016,3.240000000000016,-304.7812445109031
-2.2300000000000164,3.2300000000000164,-600.738023866201
-2.2200000000000166,3.2200000000000166,-884.5805605840291
-2.210000000000017,3.210000000000017,-1156.2892503426049
-2.200000000000017,3.200000000000017,-1415.8638046751962
-2.1900000000000173,3.1900000000000173,-1663.3224125384143
-2.1800000000000175,3.1800000000000175,-1898.7009205253516
-2.1700000000000177,3.1700000000000177,-2122.0520314968007
-2.160000000000018,3.160000000000018,-2333.4445214049815
-2.150000000000018,3.150000000000018,-2532.962474085428
-2.1400000000000183,3.1400000000000183,-2720.7045337938907
-2.1300000000000185,3.1300000000000185,-2896.783175266307
-2.1200000000000188,3.1200000000000188,-3061.3239910811308
-2.110000000000019,3.110000000000019,-3214.4649961044684
-2.100000000000019,3.100000000000019,-3356.3559487997386
-2.0900000000000194,3.0900000000000194,-3487.1576891847362
-2.0800000000000196,3.0800000000000196,-3607.041493220202
-2.07000000000002,3.07000000000002,-3716.188443415214
-2.06000000000002,3.06000000000002,-3814.788815435926
-2.0500000000000203,3.0500000000000203,-3903.0414805053633
-2.0400000000000205,3.0400000000000205,-3981.1533233832397
-2.0300000000000207,3.0300000000000207,-4049.3386757159087
-2.020000000000021,3.020000000000021,-4107.81876454783
-2.010000000000021,3.010000000000021,-4156.821175787091
-2.0000000000000213,3.0000000000000213,-4196.579332418763
-1.9900000000000213,2.9900000000000215,-4227.331987261081
-1.9800000000000213,2.9800000000000213,-4249.32273006059
-1.9700000000000213,2.970000000000021,-4262.799508723719
-1.9600000000000213,2.9600000000000213,-4268.01416448332
-1.9500000000000213,2.9500000000000215,-4265.221980800015
-1.9400000000000213,2.9400000000000213,-4254.681245799373
-1.9300000000000213,2.930000000000021,-4236.6528280471375
-1.9200000000000212,2.9200000000000212,-4211.39976546592
-1.9100000000000212,2.9100000000000215,-4179.18686719803
-1.9000000000000212,2.9000000000000212,-4140.280328220299
-1.8900000000000212,2.890000000000021,-4094.9473565179196
-1.8800000000000212,2.880000000000021,-4043.4558126256034
-1.8700000000000212,2.8700000000000214,-3986.0738613455183
-1.8600000000000212,2.860000000000021,-3923.0696354526885
-1.8500000000000212,2.850000000000021,-3854.710911199783
-1.8400000000000212,2.840000000000021,-3781.264795434316
-1.8300000000000212,2.8300000000000214,-3702.997424142663
-1.8200000000000212,2.820000000000021,-3620.173672236336
-1.8100000000000211,2.810000000000021,-3533.056874397297
-1.8000000000000211,2.800000000000021,-3441.9085568001956
-1.7900000000000211,2.7900000000000214,-3346.9881795307165
-1.7800000000000211,2.780000000000021,-3248.5528895203424
-1.7700000000000211,2.770000000000021,-3146.857283819156
-1.760000000000021,2.760000000000021,-3042.1531830293643
-1.750000000000021,2.7500000000000213,-2934.689414723595
-1.740000000000021,2.740000000000021,-2824.711606673102
-1.730000000000021,2.730000000000021,-2712.461989712295
-1.720000000000021,2.720000000000021,-2598.179210067185
-1.710000000000021,2.7100000000000213,-2482.0981509765456
-1.700000000000021,2.700000000000021,-2364.4497634358227
-1.690000000000021,2.690000000000021,-2245.4609058950136
-1.680000000000021,2.680000000000021,-2125.3541927429324
-1.670000000000021,2.6700000000000212,-2004.34785141152
-1.660000000000021,2.660000000000021,-1882.6555879350474
-1.650000000000021,2.650000000000021,-1760.4864608002565
-1.640000000000021,2.640000000000021,-1638.04476292472
-1.630000000000021,2.630000000000021,-1515.5299116018787
-1.620000000000021,2.620000000000021,-1393.1363462524544
-1.610000000000021,2.6100000000000207,-1271.0534338231168
-1.600000000000021,2.600000000000021,-1149.465381674511
-1.590000000000021,2.590000000000021,-1028.5511578019418
-1.580000000000021,2.580000000000021,-908.4844182332445
-1.570000000000021,2.5700000000000207,-789.4334414495568
-1.560000000000021,2.560000000000021,-671.5610696759207
-1.550000000000021,2.550000000000021,-555.0246568898629
-1.540000000000021,2.540000000000021,-439.9760233972933
-1.530000000000021,2.5300000000000207,-326.56141682628765
-1.520000000000021,2.520000000000021,-214.9214793905073
-1.5100000000000209,2.510000000000021,-105.19122127523734
-1.5000000000000209,2.500000000000021,2.49999999977744
-1.4900000000000209,2.4900000000000206,108.02849438531194
-1.4800000000000209,2.480000000000021,211.27624841885603
-1.4700000000000208,2.470000000000021,312.1309287942197
-1.4600000000000208,2.460000000000021,410.4858805255359
-1.4500000000000208,2.4500000000000206,506.2401198454364
-1.4400000000000208,2.440000000000021,599.2983219759734
-1.4300000000000208,2.430000000000021,689.5708039096431
-1.4200000000000208,2.420000000000021,776.973502336671
-1.4100000000000208,2.4100000000000206,861.427946853498
-1.4000000000000208,2.400000000000021,942.8612285862079
-1.3900000000000208,2.390000000000021,1021.2059643614191
-1.3800000000000208,2.3800000000000208,1096.4002565559692
-1.3700000000000208,2.3700000000000205,1168.3876487554976
-1.3600000000000207,2.3600000000000207,1237.1170773508313
-1.3500000000000207,2.350000000000021,1302.5428191998678
-1.3400000000000207,2.3400000000000207,1364.6244354814492
-1.3300000000000207,2.3300000000000205,1423.3267118664983
-1.3200000000000207,2.3200000000000207,1478.61959513049
-1.3100000000000207,2.310000000000021,1530.4781263301224
-1.3000000000000207,2.3000000000000207,1578.882370665838
-1.2900000000000207,2.2900000000000205,1623.817344150651
-1.2800000000000207,2.2800000000000207,1665.2729372045005
-1.2700000000000207,2.270000000000021,1703.243835292175
-1.2600000000000207,2.2600000000000207,1737.729436721625
-1.2500000000000207,2.2500000000000204,1768.7337677182745
-1.2400000000000206,2.2400000000000206,1796.265394889738
-1.2300000000000206,2.230000000000021,1820.3373351941352
-1.2200000000000206,2.2200000000000206,1840.9669635240018
-1.2100000000000206,2.2100000000000204,1858.1759180165677
-1.2000000000000206,2.2000000000000206,1871.9900031999746
-1.1900000000000206,2.190000000000021,1882.4390910838056
-1.1800000000000206,2.1800000000000206,1889.5570203010657
-1.1700000000000206,2.1700000000000204,1893.3814934075833
-1.1600000000000206,2.1600000000000206,1893.9539724435485
-1.1500000000000206,2.150000000000021,1891.3195728607311
-1.1400000000000206,2.1400000000000206,1885.5269559177036
-1.1300000000000205,2.1300000000000203,1876.628219644175
-1.1200000000000205,2.1200000000000205,1864.6787884743453
-1.1100000000000205,2.1100000000000207,1849.737301647976
-1.1000000000000205,2.1000000000000205,1831.865500476674
-1.0900000000000205,2.0900000000000203,1811.1281145716634
-1.0800000000000205,2.0800000000000205,1787.592747128113
-1.0700000000000205,2.0700000000000207,1761.3297593598954
-1.0600000000000205,2.0600000000000205,1732.4121541774323
-1.0500000000000205,2.0500000000000203,1700.9154592000666
-1.0400000000000205,2.0400000000000205,1666.9176091932106
-1.0300000000000205,2.0300000000000207,1630.4988280192922
-1.0200000000000204,2.0200000000000204,1591.7415101903334
-1.0100000000000204,2.01000000000002,1550.7301021087742
-1.0000000000000204,2.0000000000000204,1507.5509830819374
-0.9900000000000204,1.9900000000000204,1462.29234619435
-0.9800000000000204,1.9800000000000204,1415.044079120902
