x,f(x),Spline(x)
-3.0,4.0,4.0
-2.99,3.99,3.9750001666666672
-2.9800000000000004,3.9800000000000004,3.9500013333333346
-2.9700000000000006,3.9700000000000006,3.925004500000002
-2.960000000000001,3.960000000000001,3.900010666666669
-2.950000000000001,3.950000000000001,3.875020833333336
-2.9400000000000013,3.9400000000000013,3.8500360000000033
-2.9300000000000015,3.9300000000000015,3.8250571666666704
-2.9200000000000017,3.9200000000000017,3.8000853333333375
-2.910000000000002,3.910000000000002,3.775121500000005
-2.900000000000002,3.900000000000002,3.750166666666672
-2.8900000000000023,3.8900000000000023,3.725221833333339
-2.8800000000000026,3.8800000000000026,3.7002880000000062
-2.8700000000000028,3.8700000000000028,3.6753661666666737
-2.860000000000003,3.860000000000003,3.6504573333333408
-2.850000000000003,3.850000000000003,3.625562500000008
-2.8400000000000034,3.8400000000000034,3.600682666666675
-2.8300000000000036,3.8300000000000036,3.5758188333333423
-2.820000000000004,3.820000000000004,3.5509720000000096
-2.810000000000004,3.810000000000004,3.5261431666666767
-2.8000000000000043,3.8000000000000043,3.501333333333344
-2.7900000000000045,3.7900000000000045,3.476543500000011
-2.7800000000000047,3.7800000000000047,3.451774666666678
-2.770000000000005,3.770000000000005,3.4270278333333453
-2.760000000000005,3.760000000000005,3.4023040000000124
-2.7500000000000053,3.7500000000000053,3.37760416666668
-2.7400000000000055,3.7400000000000055,3.352929333333347
-2.7300000000000058,3.7300000000000058,3.328280500000014
-2.720000000000006,3.720000000000006,3.3036586666666814
-2.710000000000006,3.710000000000006,3.2790648333333485
-2.7000000000000064,3.7000000000000064,3.2545000000000157
-2.6900000000000066,3.6900000000000066,3.229965166666683
-2.680000000000007,3.680000000000007,3.20546133333335
-2.670000000000007,3.670000000000007,3.1809895000000172
-2.6600000000000072,3.6600000000000072,3.1565506666666843
-2.6500000000000075,3.6500000000000075,3.1321458333333516
-2.6400000000000077,3.6400000000000077,3.107776000000019
-2.630000000000008,3.630000000000008,3.0834421666666856
-2.620000000000008,3.620000000000008,3.059145333333353
-2.6100000000000083,3.6100000000000083,3.0348865000000202
-2.6000000000000085,3.6000000000000085,3.0106666666666873
-2.5900000000000087,3.5900000000000087,2.9864868333333545
-2.580000000000009,3.580000000000009,2.9623480000000217
-2.570000000000009,3.570000000000009,2.9382511666666886
-2.5600000000000094,3.5600000000000094,2.9141973333333557
-2.5500000000000096,3.5500000000000096,2.8901875000000232
-2.54000000000001,3.54000000000001,2.86622266666669
-2.53000000000001,3.53000000000001,2.8423038333333572
-2.5200000000000102,3.5200000000000102,2.8184320000000245
-2.5100000000000104,3.5100000000000104,2.7946081666666918
-2.5000000000000107,3.5000000000000107,2.770833333333359
-2.490000000000011,3.490000000000011,2.7471085000000257
-2.480000000000011,3.480000000000011,2.723434666666693
-2.4700000000000113,3.4700000000000113,2.69981283333336
-2.4600000000000115,3.4600000000000115,2.676244000000027
-2.4500000000000117,3.4500000000000117,2.652729166666694
-2.440000000000012,3.440000000000012,2.629269333333361
-2.430000000000012,3.430000000000012,2.6058655000000286
-2.4200000000000124,3.4200000000000124,2.5825186666666955
-2.4100000000000126,3.4100000000000126,2.5592298333333625
-2.400000000000013,3.400000000000013,2.53600000000003
-2.390000000000013,3.390000000000013,2.5128301666666966
-2.380000000000013,3.380000000000013,2.489721333333364
-2.3700000000000134,3.3700000000000134,2.466674500000031
-2.3600000000000136,3.3600000000000136,2.443690666666698
-2.350000000000014,3.350000000000014,2.420770833333365
-2.340000000000014,3.340000000000014,2.397916000000032
-2.3300000000000143,3.3300000000000143,2.375127166666699
-2.3200000000000145,3.3200000000000145,2.3524053333333663
-2.3100000000000147,3.3100000000000147,2.3297515000000333
-2.300000000000015,3.300000000000015,2.3071666666667
-2.290000000000015,3.290000000000015,2.2846518333333674
-2.2800000000000153,3.2800000000000153,2.262208000000034
-2.2700000000000156,3.2700000000000156,2.2398361666667013
-2.2600000000000158,3.2600000000000158,2.217537333333368
-2.250000000000016,3.250000000000016,2.1953125000000355
-2.240000000000016,3.240000000000016,2.1731626666667028
-2.2300000000000164,3.2300000000000164,2.1510888333333695
-2.2200000000000166,3.2200000000000166,2.1290920000000364
-2.210000000000017,3.210000000000017,2.1071731666667035
-2.200000000000017,3.200000000000017,2.08533333333337
-2.1900000000000173,3.1900000000000173,2.0635735000000377
-2.1800000000000175,3.1800000000000175,2.0418946666667046
-2.1700000000000177,3.1700000000000177,2.0202978333333714
-2.160000000000018,3.160000000000018,1.9987840000000383
-2.150000000000018,3.150000000000018,1.9773541666667054
-2.1400000000000183,3.1400000000000183,1.9560093333333723
-2.1300000000000185,3.1300000000000185,1.9347505000000393
-2.1200000000000188,3.1200000000000188,1.9135786666667065
-2.110000000000019,3.110000000000019,1.8924948333333733
-2.100000000000019,3.100000000000019,1.8715000000000401
-2.0900000000000194,3.0900000000000194,1.8505951666667073
-2.0800000000000196,3.0800000000000196,1.8297813333333741
-2.07000000000002,3.07000000000002,1.8090595000000407
-2.06000000000002,3.06000000000002,1.7884306666667078
-2.0500000000000203,3.0500000000000203,1.7678958333333747
-2.0400000000000205,3.0400000000000205,1.7474560000000416
-2.0300000000000207,3.0300000000000207,1.7271121666667086
-2.020000000000021,3.020000000000021,1.7068653333333756
-2.010000000000021,3.010000000000021,1.6867165000000426
-2.0000000000000213,3.0000000000000213,1.6666666666667094
-1.9900000000000213,2.9900000000000215,1.646716833333376
-1.9800000000000213,2.9800000000000213,1.6268680000000422
-1.9700000000000213,2.970000000000021,1.6071211666667082
